id,nombre,horasTrabajadas,sueldo
166,Clio,1634,84894
167,Abra,5183,26456
168,Daryl,8175,59071
169,Riobard,3476,82032
170,Clerissa,7127,46429
171,Glennie,9609,39398
172,Auberon,8080,97224
173,Luella,8183,38956
174,Gayla,4323,31955
175,Gretna,2394,20345
176,Jenny,5922,12298
177,Crysta,5240,76603
178,Mac,5418,39820
179,Tresa,2973,46852
180,Lorri,6563,87529
181,Hildy,7812,72110
182,Elisha,9703,97559
183,Brandise,503,17737
184,Hendrika,4808,38031
185,Hector,8925,85881
186,Mikael,7673,96559
187,Jarad,9518,36570
188,Austin,8087,62040
189,Kitti,3375,77407
190,Zarla,598,68932
191,Eduardo,522,71259
192,Brendan,3325,63704
193,Borden,5225,81962
194,Hazel,8957,53831
195,Rosetta,8369,28786
196,Woodie,3787,30436
197,Adriano,6421,52640
198,Obed,2402,89666
199,Kitty,8433,40947
200,Brennen,3251,75952
201,Anya,9650,25219
202,Imogen,1142,31600
203,Lay,1263,97259
204,Hilary,5662,30348
205,Maryanne,6563,18700
206,Maddie,5147,55596
207,Candida,5891,68198
208,Sarge,9793,76226
209,Kendal,9466,52361
210,Guglielma,502,17697
211,Emalia,8839,17562
212,Marrilee,7003,99268
213,Gelya,9056,98476
214,Ernst,9463,27362
215,Merrily,3181,55504
216,Avivah,1533,15244
217,Goldina,3239,72527
218,Zacharias,7831,48501
219,Orella,6698,34029
220,Susanna,6223,82412
221,Nollie,7839,37969
222,Kevin,7842,14301
223,Alexi,7177,58132
224,Chrisse,7246,59277
225,Andie,9729,32507
226,Monroe,1060,92530
227,Mortimer,9404,58861
228,Jeniffer,7153,26348
229,Mendel,8158,55313
230,Pierce,7926,40319
231,Van,2432,14305
232,Armando,3237,96895
233,Waverly,1552,75275
234,Arleta,7444,37693
235,Cesya,6044,47847
236,Shayna,9151,74148
237,Tessa,1936,73903
238,Twila,6159,61249
239,Wadsworth,1873,68586
240,Ringo,8870,40393
241,Kassey,1090,54982
242,Gabriello,4308,72699
243,Mayor,2755,31624
244,Dehlia,550,37644
245,Monty,3803,17866
246,Llewellyn,8688,45625
247,Shawna,8918,57790
248,Iggie,6826,84051
249,Lorettalorna,5432,66734
250,Kym,3999,75436
251,Ethelind,4736,47795
252,Carla,4979,90185
253,Leanor,4794,53610
254,Demetre,1537,35498
255,Kerby,268,57538
256,Tadeas,5908,21533
257,Farrand,7956,21048
258,Briney,5144,15744
259,Gabby,9641,87602
260,Staford,4443,48683
261,Danell,4679,95352
262,Basile,8263,99958
263,Anita,9152,34422
264,Ingrid,5629,88898
265,Wilie,2292,37727
266,Cherlyn,9060,53099
267,Beaufort,578,40915
268,Tucky,6612,15252
269,Giuditta,2744,20811
270,Liesa,498,33682
271,Donnajean,1298,55740
272,Jemmie,2294,65579
273,Casandra,7980,49494
274,Constancy,6087,99288
275,Wilone,618,47506
276,Jeri,8965,90872
277,Risa,477,36442
278,Lindsay,7730,11876
279,Cherin,2715,39119
280,Chrissie,4947,49655
281,Katinka,9447,62198
282,Haroun,7442,53514
283,Kippie,520,61112
284,Bax,2537,32521
285,Raine,646,80954
286,Everett,3856,60399
287,Shane,4903,19323
288,Carmine,4215,85514
289,Craig,1341,27068
290,Niko,148,46762
291,Neddie,1619,10588
292,Randall,2513,45872
293,Truman,8073,38588
294,Simone,5199,57729
295,Olivier,5188,64208
296,Marje,1062,40045
297,Lorin,6270,19750
298,Lesya,2525,62488
299,Kennett,3439,24351
300,Eolande,4680,25878
301,Ailsun,8789,87108
302,Cathee,7461,89232
303,Neill,27,91887
304,Vassily,1171,77501
305,Roxane,5526,70582
306,Rivi,8953,37104
307,Even,731,85401
308,Fax,6713,60422
309,Trent,3464,64372
310,Torre,607,16654
311,Twyla,5588,42316
312,Elwin,6260,11537
313,Darin,7888,29919
314,Idalia,4499,74551
315,Steffi,3223,95679
316,Kerwin,3019,87520
317,Robbie,9333,67320
318,Shelly,1203,56744
319,Almeta,4737,93461
320,Madella,2948,10243
321,Geneva,9407,16714
322,Murdock,6674,46674
323,Elianora,1410,27175
324,Bebe,8160,90799
325,Genny,3130,80412
326,Noemi,9087,13140
327,Michele,7799,24368
328,Delila,5173,37500
329,Halsey,4688,30253
330,Prince,8444,37602
331,Charlotte,6394,68652
332,Emogene,8591,95529
333,Jaclyn,3858,99224
334,Lottie,6257,14030
335,Annecorinne,9623,56293
336,Tallou,6344,51818
337,Reina,7625,92566
338,Wade,6177,52720
339,Daryl,4073,69274
340,Leila,1831,34283
341,Janot,7208,30721
342,Moore,4053,33920
343,Lanie,5008,50698
344,Alys,8867,52222
345,Vladimir,128,93372
346,Clementina,2184,34363
347,Robinia,6688,80268
348,Janna,3668,41725
349,Harold,9836,25825
350,Peirce,8462,55967
351,Durward,9195,14252
352,Mildrid,3424,27104
353,Aristotle,3279,19208
354,Nikolai,8935,57722
355,Minda,6593,65882
356,Haroun,1440,50871
357,Drucill,2114,24193
358,Tawnya,259,84948
359,Cal,640,27125
360,Tabb,960,69392
361,Ozzy,5062,49012
362,Filippo,8847,75610
363,Markus,7238,16673
364,Marlon,940,47184
365,Duffie,2990,73461
366,Aeriel,5691,66588
367,Garwin,1192,63386
368,Kathryne,7672,13004
369,Cindra,9466,69240
370,Ilysa,1343,84786
371,Ronalda,4105,83711
372,Lev,2426,47594
373,Shannan,7298,95198
374,Clarita,4253,16402
375,Kerrie,8007,17869
376,Murvyn,170,76685
377,Ericha,1558,76052
378,Julia,8054,51126
379,Frieda,9313,88371
380,Arlen,770,58062
381,Jany,3194,13724
382,Barri,9187,65445
383,Melissa,3430,25132
384,Arabela,5510,14057
385,Saraann,4828,51608
386,Troy,8403,69549
387,Abba,102,51748
388,Alidia,7320,38718
389,Fairfax,2885,84046
390,Earle,7640,43814
391,Shanda,9382,15076
392,Glynn,6387,94342
393,Karlik,686,28271
394,Sallie,9466,56167
395,Rania,4924,47521
396,Cecily,7596,80653
397,Claudian,2484,52268
398,Eadie,7240,41946
399,Nicolea,8478,41092
400,Annadiana,3182,40335
401,Cora,4990,56863
402,Verene,5422,25197
403,Fifine,1558,21745
404,Diahann,8685,32752
405,Lilia,6535,15566
406,Olimpia,2683,61222
407,Teodoor,411,43564
408,Mauricio,7470,75190
409,Dom,2458,51110
410,Demetra,546,74685
411,Saunders,9830,72781
412,Alina,3613,19414
413,Hamel,9146,37324
414,Veronique,9355,61323
415,Lilli,3228,22190
416,Koressa,4872,58444
417,Georgie,4388,34057
418,Dasya,805,60932
419,Nerty,785,64188
420,Alverta,6633,93635
421,Johan,5276,74518
422,Matti,1515,64430
423,Leeann,4518,79774
424,Kendall,7211,87444
425,Rand,9103,84383
426,Kiersten,8321,46088
427,Laney,9049,13938
428,Orv,6279,92002
429,Sabine,7121,67681
430,Munroe,2220,51109
431,Trev,265,39884
432,Ros,7973,11132
433,Cilka,1367,58905
434,Adrien,6535,25839
435,Nellie,1975,30872
436,Lucias,4575,48307
437,Gonzales,1892,42384
438,Wilie,6696,80986
439,Bryce,8412,65049
440,Ignace,4197,15676
441,Shay,8859,71691
442,Zelda,2697,16808
443,Odelle,9457,12016
444,Thea,8704,17941
445,Debby,7518,68243
446,Eloise,1775,77522
447,Erma,2131,26723
448,Torry,9839,77012
449,Pippo,2735,45765
450,Chet,1663,67861
451,Emmy,2719,35036
452,Adriane,9290,42894
453,Kassey,5524,39897
454,Manda,6620,45096
455,Dallas,6619,69608
456,Feliks,901,11999
457,Georges,7331,12651
458,Christopher,9421,27219
459,Jacky,7279,16367
460,Barth,2847,68248
461,Querida,2173,59784
462,Milicent,3397,59043
463,Hillel,9906,45453
464,Denice,7492,68111
465,Keary,5850,21398
466,Noellyn,1372,11621
467,Sibbie,2916,53915
468,Cameron,2776,79027
469,Vernen,1863,96346
470,Reilly,7218,72611
471,Huntley,178,91489
472,Nikolaos,5694,68438
473,Deni,5831,29454
474,Esteban,1499,85431
475,Daniela,3842,62588
476,Aylmar,3794,46819
477,Olwen,2324,97177
478,Eddy,6113,21920
479,Karie,7454,25807
480,Carola,5808,59155
481,Sansone,235,57956
482,Elbertine,3854,86374
483,Gussy,2631,64247
484,Otho,4136,76038
485,Marne,4999,57683
486,Price,4356,83761
487,Vassili,9484,80771
488,Clemmy,5158,89796
489,Kristofer,2768,47333
490,Krishna,1215,60542
491,Phip,3358,79576
492,Bevvy,7793,29826
493,Bard,4659,72312
494,Georgianna,7559,21716
495,Wendie,3555,49568
496,Leonard,7540,71581
497,Keelby,2612,55626
498,Adlai,5849,63574
499,Emmey,4051,30386
500,Kaleena,4008,26192
501,Reggie,5779,62044
502,Bernardo,7461,14550
503,Karol,5765,22230
504,Kristo,1663,95836
505,Ivory,220,36764
506,Durant,2231,57676
507,Claiborne,5247,14824
508,Bank,9783,48032
509,Lorilyn,4124,30364
510,Nerta,4887,19851
511,Neddie,9376,79894
512,Tallulah,2815,33897
513,Dallas,8096,23446
514,Harcourt,2529,48222
515,Sauveur,8535,52192
516,Mikel,8855,82956
517,Egan,1069,65900
518,Faunie,5444,88027
519,Benita,6283,87210
520,Gwenette,8993,69765
521,Farley,8764,20218
522,Sheffy,2703,28140
523,Wilbur,9360,52458
524,Gregoire,8915,64775
525,Sadie,6326,35544
526,Davita,9952,77699
527,Hamish,1280,23174
528,Arabel,1278,16540
529,Cecelia,2966,41046
530,Morry,1971,50019
531,Cchaddie,8542,87495
532,Marlee,1345,49874
533,Irene,6821,35409
534,Karin,1678,26465
535,Tye,80,54981
536,Nina,1707,94480
537,Fulton,3858,92831
538,Hildagarde,1188,97173
539,Cammy,158,79198
540,Alyson,4617,24739
541,Shirline,1171,62997
542,Aubrey,9895,96760
543,Korry,411,34319
544,Gwenneth,1125,81959
545,Toiboid,8408,76125
546,Kahaleel,598,93770
547,Ruthie,7021,96529
548,Jan,5646,68722
549,Nicholle,5096,94641
550,Harmon,6951,16570
551,Bellina,7055,80407
552,Binni,5299,81919
553,Colby,2485,40103
554,Lynelle,1126,85696
555,Roseanne,3283,39688
556,Swen,7109,61591
557,Wolfie,9514,35052
558,Grantham,6931,38449
559,Quill,8299,19929
560,Johan,8681,80233
561,Shandeigh,1947,35832
562,Wolfgang,1047,44052
563,Jammal,7514,14257
564,Berkley,2163,31234
565,Marlow,4959,16739
566,Francoise,6247,70568
567,Brynn,2846,83368
568,Atlante,609,76284
569,Burr,8238,25289
570,Moise,8181,13470
571,Mordecai,5747,69627
572,Sissy,1474,49264
573,Palmer,176,27483
574,Horacio,192,82980
575,Berke,1935,78638
576,Marianne,178,41468
577,Ruy,3484,95151
578,Lotti,6715,40939
579,Bryant,6706,81891
580,Emmit,3223,76084
581,Boycey,4417,46942
582,Heloise,3447,99864
583,Pembroke,5530,79835
584,Johnath,2855,97475
585,Kiley,1816,11012
586,Nonnah,8861,81475
587,Dorita,1274,35452
588,Nevins,8935,38689
589,Hobey,3711,52500
590,Ephrem,1671,16307
591,Sig,9578,12547
592,Chlo,6034,41757
593,Myra,6298,18263
594,Wadsworth,7246,56515
595,Sibyl,1389,17560
596,Burlie,9603,45470
597,Rubin,2591,56161
598,Carmine,7319,35356
599,Ardis,4650,89688
600,Huntley,3248,78062
601,Meta,6014,84413
602,Stormie,4680,17876
603,Mortie,4512,39943
604,Amye,8105,27687
605,Jorgan,1024,83522
606,Adel,4087,26520
607,Renate,2006,69471
608,Husein,4628,54862
609,Ronnica,9014,10547
610,Ken,6806,45606
611,Waly,9134,63225
612,Stanford,7112,56225
613,Diana,1333,89314
614,Peyter,9420,18256
615,Hillyer,5648,55643
616,Maren,3446,93507
617,Burty,3628,17858
618,Thibaut,6847,61514
619,Leta,2361,95183
620,Dehlia,8485,13631
621,Kain,350,87082
622,Zorana,405,70989
623,Libbey,3327,84183
624,Fergus,7758,48555
625,Mallissa,9111,28527
626,Gusty,7566,40137
627,Clemence,1025,55899
628,Myrah,4325,95062
629,Nonna,4060,57397
630,Cecil,9724,88769
631,Gerry,4279,43020
632,Brittaney,2725,48531
633,Melvin,8726,89484
634,Alma,3424,43398
635,Alleen,867,72859
636,Layla,9978,65216
637,Bonny,6151,90327
638,Elisabet,1336,45888
639,Gottfried,749,33213
640,Flor,7524,44024
641,Les,8418,31196
642,Charlotte,5171,84705
643,Dougy,9079,88396
644,Terencio,8881,77172
645,Elsi,3299,13697
646,Townie,3754,84106
647,Nickey,7678,69485
648,Matteo,2400,75136
649,Maximilianus,9891,34129
650,Alexandr,1288,59673
651,Mallorie,5490,30784
652,Danice,6214,88624
653,Justen,9437,84786
654,Dorita,3189,80995
655,Olive,4258,81037
656,Oates,9806,17746
657,Avivah,4549,15821
658,Kerwinn,7545,38729
659,Hatty,7843,62363
660,Lek,4453,67141
661,Noby,1910,59635
662,Bartolomeo,2659,87056
663,Gayle,9559,80983
664,Kevon,3226,61830
665,Farra,2447,18018
666,Halsey,8103,10655
667,Hailee,3303,54208
668,Marlee,8982,69377
669,Brander,8174,39989
670,Ardith,9399,15087
671,Mac,671,22039
672,Curry,8488,30265
673,Bel,2208,34157
674,Ty,7114,39287
675,Arielle,998,45494
676,Napoleon,8876,55597
677,Blanche,855,41495
678,Bryan,2537,79740
679,Kelcie,164,52008
680,Crista,4499,66740
681,Hannah,6643,99430
682,Anallise,401,32455
683,Carlee,8439,86037
684,Dewain,6438,81435
685,Winonah,7408,37232
686,Erinna,9098,63713
687,Rad,8503,13813
688,Amandie,3367,90480
689,Filberto,9170,27234
690,Antoinette,5559,14760
691,Masha,7600,46509
692,Raina,8126,20296
693,Caritta,4069,18988
694,Arden,9758,63108
695,Wandie,7366,60187
696,Heywood,5559,25391
697,De witt,9788,43680
698,Zarah,7773,61907
699,Rodge,9259,28195
700,Madge,2707,25143
701,Lyndsie,7033,70768
702,Ive,3664,12408
703,Sinclair,9428,35686
704,Letty,9351,12783
705,Shawn,1335,46259
706,Ardelis,1084,29457
707,Clint,3299,42850
708,Dagny,290,69305
709,Celie,6139,46851
710,Larry,327,26915
711,Caroljean,6380,13122
712,Hamil,20,23249
713,Clarey,4348,67230
714,Seana,2940,21715
715,Erhard,7406,73977
716,Kelsey,7406,64356
717,Gottfried,941,74948
718,Fredek,9922,66546
719,Corie,4826,86097
720,Agnes,3724,74223
721,Jarib,4078,14799
722,Rozanna,4479,45951
723,Coral,7219,16303
724,Jay,9700,56872
725,Anette,2411,53795
726,Valentino,6503,36572
727,Byron,4609,65003
728,Davidson,5215,58557
729,Anabal,3133,62522
730,Wileen,879,94419
731,Aggie,6885,71210
732,Gusta,5414,89773
733,Ulla,7699,15137
734,Kyle,609,58255
735,Justis,4305,81930
736,Ray,4801,84276
737,Maris,787,46339
738,Nolie,8748,66423
739,Issie,4886,77340
740,Pamella,2517,35674
741,Emery,438,49399
742,Ruttger,1428,74056
743,Marianna,7335,61968
744,Arline,1054,98641
745,Baryram,1986,78452
746,Max,6315,39828
747,Gerick,658,46638
748,Blanch,7192,44347
749,Rutherford,7771,50435
750,Moises,405,74615
751,Hortense,9396,14267
752,Rorke,2476,99238
753,Bessie,1993,48850
754,Foster,4267,22533
755,Barr,8708,38409
756,Simmonds,8194,49820
757,Laverna,5907,60414
758,Ricca,4868,38887
759,Coralie,8337,21709
760,Louise,1439,28656
761,Thorny,1521,49648
762,Marven,8984,31145
763,Amby,1329,88011
764,Nancee,3159,92758
765,Dillon,9230,42110
766,Quinta,9711,33884
767,Fanechka,3213,11591
768,Fraze,1554,30761
769,Rob,8132,88158
770,Beitris,6019,37313
771,Berty,5263,86607
772,Marlie,4663,62062
773,Cherida,4311,27773
774,Kearney,8749,29431
775,Becky,8382,48060
776,Norry,4937,83975
777,Stafani,9358,41788
778,Nickola,6583,72242
779,Andromache,5729,80761
780,Clareta,2066,87891
781,Anna-diana,4131,99654
782,Israel,5922,63587
783,Justen,4452,60416
784,Antonetta,9880,36537
785,Oralie,3274,91802
786,Erin,8424,51249
787,Zorana,6373,93371
788,Susan,8195,18163
789,Cy,9578,69384
790,Arlee,3894,43180
791,Petr,55,28018
792,Meaghan,9496,93001
793,Cly,5432,59199
794,Ferne,4171,65517
795,Nanny,6409,74530
796,Elmira,8022,77552
797,Adolphe,4603,75498
798,Maiga,7665,59497
799,Frederica,1542,66945
800,Rochelle,9534,51715
801,Rriocard,9394,41752
802,Ilario,7165,51606
803,Valida,920,93368
804,Rodd,2851,89555
805,Ailbert,3154,14993
806,Austen,3100,47794
807,Victor,956,84145
808,Andonis,8033,65639
809,Dalila,8945,44607
810,Bondy,9303,87728
811,Koo,3957,74045
812,Rickard,9492,30259
813,Cassaundra,5148,40074
814,Lucita,8345,98704
815,Avram,6713,60326
816,Huntlee,9715,29811
817,Elisa,4616,85826
818,Wheeler,4554,33806
819,Dori,2259,55695
820,Joey,5552,42896
821,Rhiamon,9618,57514
822,Liz,5982,51994
823,Andie,7118,99883
824,Victor,8316,15025
825,Berta,5960,70382
826,Camel,9025,31226
827,Truman,9686,17265
828,Mayor,4384,22541
829,Elysee,2948,49529
830,La verne,7871,41470
831,Jacques,22,46357
832,Iormina,71,58159
833,Gilberta,7017,39802
834,Brian,3712,14466
835,Fedora,4007,58384
836,Nealy,4819,80710
837,Rochella,4795,64242
838,Allene,8093,48389
839,Ardella,7720,95095
840,Judon,7384,37894
841,Hamnet,2644,45894
842,Grier,9832,81288
843,Adel,2997,96066
844,Zilvia,9088,20013
845,Brinna,360,82388
846,Mada,8154,81650
847,Grace,6081,79618
848,Benson,9081,94199
849,Duncan,8358,18451
850,Web,9751,41972
851,Inesita,4721,62179
852,Verena,3339,39196
853,George,8284,38203
854,Durward,911,72354
855,Atlante,5281,24737
856,Farr,146,55724
857,Blane,1485,30082
858,Nat,1547,79280
859,Blondy,2709,93668
860,Cecil,7184,35463
861,Essie,4921,64037
862,Kipp,4987,27051
863,Minna,6483,94413
864,Chance,2973,42229
865,Jere,2665,55829
866,Bartholemy,9718,19475
867,Maurits,9105,42363
868,Dorice,2146,37917
869,Ted,2263,91785
870,Markos,6426,25728
871,Ardine,23,99103
872,Xymenes,2817,95519
873,Preston,7751,43548
874,Drusilla,8901,72051
875,Robinet,1893,55367
876,Gareth,9085,67428
877,Gilligan,3674,34963
878,Gus,6959,70071
879,Cosme,1835,65577
880,Conan,6478,31529
881,Melisent,6568,22102
882,Ahmad,6382,54192
883,Clerkclaude,5244,83023
884,Gill,9460,89762
885,Miltie,5721,40273
886,Olenolin,9018,69321
887,Leesa,6433,81379
888,Ally,1060,42005
889,Klement,8571,90800
890,Jorgan,2881,77655
891,Valera,4242,89534
892,Lee,6316,17388
893,Jody,7356,38448
894,Gloria,1793,64122
895,Celia,4404,75640
896,Dolph,6677,96681
897,Kathryne,9667,41447
898,Mary,4571,13975
899,Jania,7325,55335
900,Zilvia,9678,34613
901,Calida,4631,25583
902,Elbertine,561,61327
903,Marge,6234,87506
904,Giselle,5090,31636
905,Camella,6418,44597
906,Elvera,656,45951
907,Lisabeth,5153,63245
908,Hayyim,4003,59743
909,Griff,2026,86932
910,Baxie,173,16724
911,Abbe,5524,23396
912,Linell,611,25141
913,Dex,6373,70557
914,Elli,3845,95451
915,Seana,6181,63219
916,Dode,2029,92812
917,Gunar,4292,87929
918,Geri,14,81932
919,Cornela,1746,79086
920,Morissa,6683,49998
921,Vivie,5052,19285
922,Romy,7521,87055
923,Prissie,4297,67754
924,Jesselyn,4687,70744
925,Arda,7619,63045
926,Joan,6380,17890
927,Wilmette,516,86978
928,Opaline,8843,61414
929,Erda,8746,54023
930,Amy,8056,57260
931,Fara,4491,21179
932,Venita,2744,12529
933,Clarice,6733,80831
934,Tori,4176,30300
935,Gwen,5903,43427
936,Mignonne,1038,89260
937,Melli,935,24801
938,Ninetta,4434,83311
939,Rodrick,4963,23326
940,Felicity,2155,75497
941,Jody,5221,64463
942,Rachele,8044,46710
943,Ancell,248,35442
944,Cornela,3320,46793
945,Caprice,5230,36854
946,Norma,458,89686
947,Rowen,7227,45449
948,Lorens,8306,58348
949,Flo,4956,82537
950,Kesley,7817,95561
951,Bebe,4796,26186
952,Jayme,1208,17016
953,Andras,9124,48164
954,Doro,8644,98103
955,Melinde,3680,77809
956,Hastings,2545,49030
957,Alejandro,3501,40977
958,Sophey,1077,83584
959,Tomasine,414,20683
960,Dore,386,52666
961,Michaeline,5616,55985
962,Ailene,1644,89862
963,Baldwin,622,61456
964,Berri,6755,40626
965,Sharon,9351,63474
966,Kitty,525,43256
967,Olivette,4555,70950
968,Antonetta,1402,58661
969,Jeff,5515,69451
970,Loy,9829,83866
971,Giraud,9582,97793
972,Frank,3691,20410
973,Kasper,3227,84319
974,Rozalin,7771,37770
975,Alf,2791,52568
976,Emalia,2335,62869
977,Yale,2084,17779
978,Alyse,2634,84380
979,Leonora,999,81497
980,Ranice,4461,54007
981,Beryle,3995,78230
982,Fania,3943,39692
983,Blinni,5326,76877
984,Gerty,96,17120
985,Nilson,4714,79270
986,Kara-lynn,8182,81305
987,Joelynn,6578,99302
988,Oralia,1808,84787
989,Tod,5488,94802
990,Elvis,1613,46221
991,Earlie,9269,79443
992,Tyrone,727,30883
993,Dorian,4816,22837
994,Sandy,4500,71207
995,Dolley,321,47112
996,Joanna,3716,17795
997,Lorens,1663,48835
998,Roderich,8693,97567
999,Augustine,2263,61651
1000,Romola,3692,84510
